id,song,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
3254,9415,0.0412,0.8740,0.6920,0.0001,-5.2800,116.0170,0.9370
3255,9416,0.3180,0.6550,0.8770,0.0000,-3.1700,82.5420,0.8700
3256,9417,0.0365,0.7920,0.5230,0.0000,-7.8560,86.3110,0.5450
3257,9418,0.0102,0.3490,0.7950,0.0001,-4.1330,148.9850,0.5420
3258,9419,0.0036,0.7730,0.4040,0.0000,-7.4380,99.9990,0.2870
3259,9420,0.0025,0.6570,0.6860,0.0000,-5.4590,119.9980,0.3650
3260,9421,0.0390,0.6730,0.7580,0.0000,-3.6320,135.9560,0.5420
3261,9422,0.0228,0.6700,0.7870,0.0000,-4.2770,139.9060,0.7130
3262,9423,0.0627,0.7170,0.8170,0.0000,-3.4170,92.9980,0.6480
3263,9424,0.0274,0.5290,0.4450,0.0000,-8.2910,138.9500,0.0767
3264,9425,0.0342,0.5570,0.9220,0.0000,-4.3350,151.9890,0.5240
3265,9426,0.0241,0.8500,0.6920,0.0000,-6.8510,95.9630,0.6880
3266,9427,0.0012,0.6010,0.8450,0.0001,-4.7110,127.9700,0.6620
3267,9428,0.7160,0.6880,0.4730,0.0000,-9.0590,84.9580,0.2990
3268,9429,0.1970,0.5730,0.9290,0.0001,-3.9420,127.9340,0.5820
3269,9430,0.0001,0.5350,0.8190,0.4920,-10.6260,126.0140,0.0317
3270,9431,0.0175,0.5990,0.8030,0.0000,-5.9530,121.0400,0.3840
3271,9432,0.0168,0.6570,0.8850,0.0000,-4.6950,105.0110,0.8690
3272,9433,0.3220,0.6670,0.6100,0.0002,-7.0540,99.9910,0.4650
3273,9434,0.1350,0.4820,0.7060,0.0011,-5.7620,92.4940,0.1440
3274,9435,0.0817,0.5030,0.7850,0.0000,-4.7560,173.9620,0.5080
3275,9436,0.1300,0.6740,0.7850,0.0000,-6.2700,120.0170,0.4000
3276,9437,0.0155,0.4770,0.7760,0.0031,-5.0560,131.0040,0.4290
3277,9438,0.0014,0.6730,0.6290,0.0000,-7.0720,103.9980,0.5510
3278,9439,0.4560,0.5290,0.6630,0.0000,-7.1380,148.1020,0.5920
3279,9440,0.0043,0.7270,0.9380,0.0000,-2.8720,132.0770,0.7570
3280,9441,0.4100,0.6950,0.8690,0.0000,-5.0660,124.9890,0.5800
3281,9442,0.0050,0.7110,0.7000,0.0001,-4.8050,128.0010,0.8010
3282,9443,0.0178,0.6720,0.7380,0.0001,-7.0450,107.9380,0.3920
3283,9444,0.3070,0.8070,0.7020,0.0000,-6.5940,114.0380,0.4470
3284,9445,0.2510,0.6110,0.6880,0.0000,-6.3690,169.8950,0.6490
3285,9446,0.1540,0.6670,0.6380,0.0000,-5.9010,118.0070,0.5130
