id,title,artist,year,rank
8687,Bad Day,Daniel Powter,2006,1
8688,Temperature,Sean Paul,2006,2
8689,Promiscuous,Nelly Furtado Featuring Timbaland,2006,3
8690,You're Beautiful,James Blunt,2006,4
8691,Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,5
8692,Unwritten,Natasha Bedingfield,2006,6
8693,Crazy,Gnarls Barkley,2006,7
8694,Ridin',Chamillionaire Featuring Krayzie Bone,2006,8
8695,SexyBack,Justin Timberlake,2006,9
8696,Check On It,Beyonce Featuring Slim Thug,2006,10
8697,Be Without You,Mary J. Blige,2006,11
8698,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006,12
8699,Over My Head (Cable Car),The Fray,2006,13
8700,Me & U,Cassie,2006,14
8701,Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006,15
8702,Run It!,Chris Brown,2006,16
8703,So Sick,Ne-Yo,2006,17
8704,It's Goin' Down,Yung Joc,2006,18
8705,SOS,Rihanna,2006,19
8706,I Write Sins Not Tragedies,Panic! At The Disco,2006,20
8707,Move Along,The All-American Rejects,2006,21
8708,London Bridge,Fergie,2006,22
8709,Dani California,Red Hot Chili Peppers,2006,23
8710,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006,24
8711,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006,25
8712,What Hurts The Most,Rascal Flatts,2006,26
8713,How To Save A Life,The Fray,2006,27
8714,Unfaithful,Rihanna,2006,28
8715,Chasing Cars,Snow Patrol,2006,29
8716,Lips Of An Angel,Hinder,2006,30
8717,Everytime We Touch,Cascada,2006,31
8718,Ain't No Other Man,Christina Aguilera,2006,32
8719,"Dance, Dance",Fall Out Boy,2006,33
8720,Gold Digger,Kanye West Featuring Jamie Foxx,2006,34
8721,Money Maker,Ludacris Featuring Pharrell,2006,35
8722,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006,36
8723,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006,37
8724,Photograph,Nickelback,2006,38
8725,Because Of You,Kelly Clarkson,2006,39
8726,Stickwitu,The Pussycat Dolls,2006,40
8727,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,41
8728,My Humps,The Black Eyed Peas,2006,42
8729,Where'd You Go,Fort Minor Featuring Holly Brook,2006,43
8730,Yo (Excuse Me Miss),Chris Brown,2006,44
8731,Walk Away,Kelly Clarkson,2006,45
8732,Laffy Taffy,D4L,2006,46
8733,What You Know,T.I.,2006,47
8734,Dirty Little Secret,The All-American Rejects,2006,48
8735,Savin' Me,Nickelback,2006,49
8736,Don't Forget About Us,Mariah Carey,2006,50
8737,Sexy Love,Ne-Yo,2006,51
8738,U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006,52
8739,Far Away,Nickelback,2006,53
8740,What's Left Of Me,Nick Lachey,2006,54
8741,So What,Field Mob Featuring Ciara,2006,55
8742,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006,56
8743,Black Horse & The Cherry Tree,KT Tunstall,2006,57
8744,There It Go! (The Whistle Song),Juelz Santana,2006,58
8745,Shoulder Lean,Young Dro Featuring T.I.,2006,59
8746,Unpredictable,Jamie Foxx Featuring Ludacris,2006,60
8747,My Love,Justin Timberlake Featuring T.I.,2006,61
8748,Shake That,Eminem Featuring Nate Dogg,2006,62
8749,Pullin' Me Back,Chingy Featuring Tyrese,2006,63
8750,Bossy,Kelis Featuring Too $hort,2006,64
8751,Chain Hang Low,Jibbs,2006,65
8752,Smack That,Akon Featuring Eminem,2006,66
8753,One Wish,Ray J,2006,67
8754,"Sugar, We're Goin' Down",Fall Out Boy,2006,68
8755,Gimme That,Chris Brown Featuring Lil Wayne,2006,69
8756,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006,70
8757,Who Says You Can't Go Home,Bon Jovi,2006,71
8758,Too Little Too Late,JoJo,2006,72
8759,Touch It,Busta Rhymes,2006,73
8760,Rompe,Daddy Yankee,2006,74
8761,Deja Vu,Beyonce Featuring Jay Z,2006,75
8762,Life Is A Highway,Rascal Flatts,2006,76
8763,Call Me When You're Sober,Evanescence,2006,77
8764,"Jesus, Take The Wheel",Carrie Underwood,2006,78
8765,Show Stopper,Danity Kane,2006,79
8766,Get Up,Ciara Featuring Chamillionaire,2006,80
8767,We Be Burnin',Sean Paul,2006,81
8768,Hate Me,Blue October,2006,82
8769,You And Me,Lifehouse,2006,83
8770,Beep,The Pussycat Dolls Featuring will.i.am,2006,84
8771,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006,85
8772,Say Goodbye,Chris Brown,2006,86
8773,Waiting On The World To Change,John Mayer,2006,87
8774,Soul Survivor,Young Jeezy Featuring Akon,2006,88
8775,Pump It,The Black Eyed Peas,2006,89
8776,When I'm Gone,Eminem,2006,90
8777,Hung Up,Madonna,2006,91
8778,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006,92
8779,Love,Keyshia Cole,2006,93
8780,When You're Mad,Ne-Yo,2006,94
8781,Why You Wanna,T.I.,2006,95
8782,Stupid Girls,P!nk,2006,96
8783,Feel Good Inc,Gorillaz,2006,97
8784,I'm Sprung,T-Pain,2006,98
8785,Do I Make You Proud,Taylor Hicks,2006,99
8786,For You I Will (Confidence),Teddy Geiger,2006,100
8787,Irreplaceable,Beyonce,2007,1
8788,Umbrella,Rihanna Featuring Jay-Z,2007,2
8789,The Sweet Escape,Gwen Stefani Featuring Akon,2007,3
8790,Big Girls Don't Cry,Fergie,2007,4
9646,7/11,Beyonce,2015,61
8791,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007,5
8792,Before He Cheats,Carrie Underwood,2007,6
